,Plantnummer:,Maximale groeihoogte (in CM):,Wintergroen?:,Bloeimaand:,Vochtigheid grond:,Positie in de tuin:,Bladkleur:,Bloemkleur:,Plantenfamilie:,Nederlandse naam:,Geslacht:,Plantdichtheid Aantal planten per m2:,Type,winterhard:,Wat voor soort grond past erbij?:,Bijvriendelijk:,Soort bodem:,Type tuin :,Snoeiperiode:,Giftig:,Groeiwijze klimplant:,Ondersteuning klimplant:,Haagplanten per strekkende meter:,pH waarde:,Stekels:,Planttijd:,Voeding / Bemesting:,Voeding periode:
654,YAR2312,80,Nee,"Juni, Juli, Augustus",Droog-vochthoudend,Zon,Groen,Blauw,Lamiaceae,Salie,Salvia,8-11,Borderplanten,,,,,,,,,,,,,,,
655,YAR1642,30,Nee,"Juni, Juli, Augustus",Droog-vochthoudend,Zon,Groen,Paars,Lamiaceae,Salie,Salvia,8-11,Borderplanten,,,,,,,,,,,,,,,
656,YAR3959,50,Nee,"Juni, Juli, Augustus",Droog-vochthoudend,Zon,Groen,Paars,Lamiaceae,Salie,Salvia,7-10,Borderplanten,,,,,,,,,,,,,,,
657,YAR2356,50,Nee,"Juni, Juli, Augustus",Droog-vochthoudend,Zon,Groen,Blauw,Lamiaceae,Salie,Salvia,8-11,Borderplanten,,,,,,,,,,,,,,,
658,YAR2040,50,Nee,"Augustus, Juli, Juni",Droog-vochthoudend,Zon,Groen,"Paars, Blauw",Lamiaceae,Salie,Salvia,8-11,Borderplanten,,,,,,,,,,,,,,,
659,YAR1654,70,Nee,"Augustus, Juli, Juni",Droog-vochthoudend,Zon,Groen,"Paars, Blauw",Lamiaceae,Salie,Salvia,7-9,Borderplanten,,,,,,,,,,,,,,,
660,YAR1774,60,Nee,"Juli, Juni, Mei",Droog-vochthoudend,Zon,Groen,"Paars, Blauw",Lamiaceae,Salie,Salvia,8,Borderplanten,,,,,,,,,,,,,,,
661,YAR1478,40,Nee,"Augustus, Juli, Juni",Droog-vochthoudend,Zon,Groen,"Paars, Blauw",Lamiaceae,Salie,Salvia,8-11,Borderplanten,,,,,,,,,,,,,,,
662,YAR1226,50,Nee,"Juni, Juli, Augustus",Droog-vochthoudend,Zon,Groen,Wit,Lamiaceae,Salie,Salvia,8,Borderplanten,,,,,,,,,,,,,,,
663,YAR2283,15,Nee,"Mei, Juni",Vochthoudend,Halfschaduw,Groen,Wit,Liliaceae,Salomonszegel,Polygonatum,,Borderplanten,,,,,,,,,,,,,,,
664,YAR249,60,Nee,"Mei, Juni",Droog,Halfschaduw,Wit,Wit,Liliaceae,Salomonszegel,Polygonatum,,Borderplanten,Ja,,,,,,Ja,,,,,,,,
665,YAR2869,30,Ja,"Maart, April",Vochthoudend,Halfschaduw,Groen,"Wit, Roze",Buxaceae,Pachysandra,Pachysandra,8-11,Borderplanten,,,,,,,,,,,,,,,
666,YAR2812,25,Ja,"April, Mei",Vochthoudend,"Halfschaduw, Schaduw",Groen,Wit,Buxaceae,Pachysandra,Pachysandra,8,Bodembedekkers,,,,,,,,,,,,,,,
667,YAR806,60,Ja,"Juni, Juli, Augustus",Droog-vochthoudend,Zon,Groen,Rood,Campanulaceae,Scharlaken lobelia,Lobelia,8-11,Borderplanten,,,Ja,,,,,,,,,,,,
668,YAR3478,400,Nee,April,Vochthoudend-vochtig,Lichte schaduw / zon,Groen,Geel,Hamamelidaceae,Schijnhazelaar,Corylopsis,,Tuin thema's en Meer,,Zwak zuur tot licht basisch,,,,,,,,,,,,,
669,YAR4,300,Nee,Maart,Vochthoudend-vochtig,Lichte schaduw / zon,Groen,Geel,Hamamelidaceae,Schijnhazelaar,Corylopsis,,Tuin thema's en Meer,,Zwak zuur tot licht basisch,,,,,,,,,,,,,
670,YAR533,200,Nee,"Juli, Augustus",Vochthoudend-vochtig,Lichte / halfschaduw,Groen,Lila,Verbenaceae,Callicarpa,Callicarpa,,Heesters en Struiken,,Zuur tot neutraal,,,,,,,,,,,,,
671,YAR308,10,Ja,"Mei, Juni",Droog-vochthoudend,Zon,Grijs,Geel,Crassulaceae,Vetkruid,Sedum,,Borderplanten,,,,,,,,,,,,,,,
672,YAR145,400,Nee,Mei,Vochthoudend-vochtig,"Halfschaduw, Zon",Groen,Wit,Rosaceae,Sierappel,Malus,,Fruitstruiken en moestuinplanten,,Neutraal tot basisch,,,,,,,,,7-9,,,,
673,YAR3113,400,Nee,Mei,Vochthoudend-vochtig,Lichte schaduw / zon,Groen,"Wit, Roze",Rosaceae,Sierappel,Malus,,Fruitstruiken en moestuinplanten,,Neutraal tot basisch,,,,,,,,,,,,,
674,YAR3432,700,Nee,Mei,Vochthoudend-vochtig,Halfschaduw / zon,Groen,"Wit, Roze",Rosaceae,Appel,Malus,,Fruitstruiken en moestuinplanten,,Neutraal tot basisch,,,,,,,,,,,,,
675,YAR2257,200,Nee,Juni,Vochthoudend-vochtig,"Halfschaduw, Zon","Grijs, Groen",Paars,Rosaceae,Sierbraam,Rubus,,Tuin thema's en Meer,,Zwak zuur tot licht basisch,,,,,,,,,,,,,
676,YAR109,60,Nee,"September, Augustus, Juli",Vochthoudend-vochtig,"Zon, Halfschaduw","Groen, Grijs","Geel, Groen",Solanaceae,Tabak,Nicotiana,8-11,Borderplanten,,,,,,,,,,,,,,,
677,YAR89,150,Nee,"Juli, Augustus",Vochthoudend,Lichte schaduw,Groen,Wit,Solanaceae,Siertabak,Nicotiana,5-7,Borderplanten,,,,,,,,,,,,,,,
678,YAR1682,90,Ja,"April, Mei",Vochthoudend-vochtig,Lichte schaduw,Groen,"Wit, Roze",Rutaceae,Skimmia,Skimmia,,Tuin thema's en Meer,,Zwak zuur tot licht basisch,,,,,,,,,,,,,
679,YAR3429,90,Ja,"April, Mei",Vochthoudend-vochtig,Lichte schaduw,Groen,"Wit, Roze",Rutaceae,Skimmia,Skimmia,,Tuin thema's en Meer,,Zwak zuur tot licht basisch,,,,,,,,,6-8,,,,
680,YAR432,60,Ja,"September, Augustus, Juli, Juni",Droog-vochthoudend,"Zon, Halfschaduw",Groen,"Roze, Rood",Scrophulariacea,Slangenkop,Penstemon,,Borderplanten,,,,,,,,,,,,,,,
681,YAR1824,50,Ja,"September, Augustus, Juli, Juni",Droog-vochthoudend,Zon,Groen,Wit,Scrophulariacea,Slangenkop,Penstemon,7-9,Borderplanten,,,,,,,,,,,,,,,
682,YAR168,70,Nee,"September, Augustus, Juli, Juni",Vochthoudend-vochtig,Zon,Groen,"Wit, Rood",Scrophulariaceae,Slangenkop,Penstemon,7-9,Borderplanten,,,,,,,,,,,,,,,
683,YAR1127,80,Nee,"Augustus, Juli, Juni",Droog-vochthoudend,Zon,"Groen, Grijs",Blauw,Boraginaceae,Slangenkruid,Echium,5-7,Borderplanten,,,,,,,,,,,,,,,
684,YAR3932,400,Nee,"Maart, April",,Halfschaduw / zon,Groen,Wit,Rosaceae,Sleedoorn,Prunus,1,Tuin thema's en Meer,Ja,,Ja,,,,,,,1-3,,Ja,,,
685,YAR324,10,Ja,"April, Mei",Vochthoudend-vochtig,Zon,Groen,Paars,Primulaceae,Sleutelbloem,Primula,"35, 15",Borderplanten,Ja,Zwak zuur tot neutraal,Ja,,Alle,,,,,,,,"Januari, Februari, Maart, April, Oktober, November, December, Mei, Juni",,
686,YAR1583,10,Nee,"April, Mei",Vochthoudend,Halfschaduw,Groen,Rood,Primulaceae,Sleutelbloem,Primula,11-15,Borderplanten,Ja,,Ja,,,,,,,,,,,,
687,YAR990,10,Ja,"April, Mei",Vochthoudend,Halfschaduw,Groen,Paars,Primulaceae,Sleutelbloem,Primula,11-15,Borderplanten,Ja,,Ja,,Alle,,,,,,,,,,
688,YAR351,5,Ja,"April, Mei",Vochthoudend-vochtig,Zon,Groen,Wit,Primulaceae,Sleutelbloem,Primula,35,Borderplanten,Ja,Zwak zuur tot neutraal,,,Alle,,,,,,,,,,
689,YAR703,50,Nee,"Mei, Juni",Vochthoudend,Halfschaduw,Groen,Paars,Primulaceae,Sleutelbloem,Primula,,Borderplanten,Ja,,Ja,,Alle,,,,,,,,,,
690,YAR2261,25,Nee,"Mei, Juni",Vochthoudend-vochtig,Lichte schaduw,Groen,Oranje,Primulaceae,Sleutelbloem,Primula,11-15,Borderplanten,,Zwak zuur tot neutraal,,,Alle,,,,,,,,,,
691,YAR284,70,Nee,"Juni, Juli",Vochthoudend,Halfschaduw,Groen,Rood,Primulaceae,Sleutelbloem,Primula,9-11,Borderplanten,Ja,,,,Alle,,,,,,,,"Januari, Februari, Maart, April, Oktober, November, December",,
692,YAR941,10,Ja,"Maart, April",Vochthoudend-vochtig,Zon,Groen,"Paars, Blauw",Primulaceae,Sleutelbloem,Primula,35,Borderplanten,,Zwak zuur tot neutraal,Ja,,"Alle, Rotstuin",,,,,,,,,,
693,YAR867,60,Ja,"Mei, Juni",Vochthoudend,Halfschaduw,Groen,"Roze, Paars",Primulaceae,Sleutelbloem,Primula,11-15,Borderplanten,Ja,,Ja,,Alle,,,,,,,,,,
694,YAR1421,30,Nee,"April, Mei",Vochthoudend,Halfschaduw,Groen,Paars,Primulaceae,Sleutelbloem,Primula,11-15,Borderplanten,Ja,,,,Alle,,,,,,,,,,
695,YAR1420,60,Nee,"Mei, Juni",Vochthoudend,Halfschaduw,Groen,Paars,Primulaceae,Sleutelbloem,Primula,11-15,Borderplanten,,,,,Alle,,,,,,,,,,
696,YAR646,125,Nee,"Juli, Augustus, September",Droog-vochthoudend,Zon,Groen,Geel,Asteraceae,Slipbladige rudbeckia,Rudbeckia,7-9,Borderplanten,,,,,,,,,,,,,,,
697,YAR1993,200,Nee,"Juli, Augustus, September",Droog-vochthoudend,Zon,Groen,Geel,Asteraceae,Slipbladige rudbeckia,Rudbeckia,7-9,Borderplanten,,,,,,,,,,,,,,,
698,YAR4012,50,Nee,"Mei, Juni, Juli, Augustus, September",Vochthoudend-vochtig,,Groen,"Bruin, Wit",Plantaginaceae,Smalle Weegbree,Plantago,,Borderplanten,,,,,,,,,,,,,,,
699,YAR188,180,Nee,"April, Mei",Droog-vochthoudend,Lichte schaduw / zon,Groen,"Wit, Roze",Caprifoliaceae,Sneeuwbal,Viburnum,,Tuin thema's en Meer,,Zuur tot neutraal,,,,,,,,,,,,,
700,YAR58,150,Nee,"April, Mei",Vochthoudend-vochtig,Lichte schaduw / zon,Groen,Roze,Caprifoliaceae,Sneeuwbal,Viburnum,,Tuin thema's en Meer,,Zuur tot neutraal,,,,,,,,,,,,,
701,YAR1626,60,Ja,"Mei, Juni",Vochthoudend-vochtig,Lichte schaduw,Groen,Wit,Caprifoliaceae,Sneeuwbal,Viburnum,,Tuin thema's en Meer,,Zwak zuur tot licht basisch,,,,,,,,,,,,,
702,YAR1144,150,Nee,"April, Mei",Vochthoudend-vochtig,"Schaduw, Halfschaduw, Zon",Groen,Wit,Caprifoliaceae,Sneeuwbal,Viburnum,,Tuin thema's en Meer,,Zuur tot neutraal,,,,,,,,,,,,,
703,YAR1748,300,Ja,"Mei, Juni",Vochthoudend-vochtig,Lichte schaduw / zon,Groen,Wit,Caprifoliaceae,Sneeuwbal,Viburnum,,Tuin thema's en Meer,Ja,Zwak zuur tot licht basisch,,,,,,,,,6-8,,,,
704,YAR336,200,Ja,"Maart, December, Januari, Februari",Droog-vochthoudend,Zon,Groen,Wit,Caprifoliaceae,Sneeuwbal,Viburnum,,Tuin thema's en Meer,,Zwak zuur tot licht basisch,,,,,,,,,,,,,
705,YAR1440,200,Nee,"April, Mei",Vochthoudend-vochtig,Lichte schaduw / zon,Groen,Roze,Caprifoliaceae,Sneeuwbal,Viburnum,,Tuin thema's en Meer,,Zuur tot neutraal,,,,,,,,,,,,,
706,YAR651,100,Nee,"April, Mei",Vochthoudend-vochtig,Lichte schaduw / zon,Groen,Wit,Caprifoliaceae,Sneeuwbal,Viburnum,,Tuin thema's en Meer,,Zuur tot neutraal,,,,,,,,,,,,,
707,YAR900,150,Ja,"Maart, April",Droog-vochthoudend,Zon,Groen,Wit,Caprifoliaceae,Sneeuwbal,Viburnum,,Tuin thema's en Meer,,Zwak zuur tot licht basisch,,,,,,,,,,,,,
708,YAR900,150,Ja,"Maart, April",Droog-vochthoudend,Zon,Groen,Wit,Caprifoliaceae,Sneeuwbal,Viburnum,,Tuin thema's en Meer,,Zwak zuur tot licht basisch,,,,,,,,,,,,,
709,YAR1630,175,Ja,"April, Mei",Vochthoudend-vochtig,Lichte schaduw / zon,Groen,Roze,Caprifoliaceae,Sneeuwbal,Viburnum,,Tuin thema's en Meer,,Neutraal tot basisch,,,,,,,,,,,,,
710,YAR377,200,Nee,"April, Mei",Droog-vochthoudend,Lichte schaduw / zon,Groen,Wit,Caprifoliaceae,Sneeuwbal,Viburnum,,Tuin thema's en Meer,,Neutraal tot basisch,,,,,,,,,,,,,
711,YAR2535,150,Nee,"April, Mei",Vochthoudend-vochtig,Lichte schaduw / zon,Groen,"Wit, Roze",Caprifoliaceae,Sneeuwbal,Viburnum,,Tuin thema's en Meer,,Neutraal tot basisch,,,,,,,,,,,,,
712,YAR1486,250,Nee,"Mei, Juni",Vochthoudend-vochtig,Lichte schaduw / zon,Groen,Wit,Caprifoliaceae,Sneeuwbal,Viburnum,,Tuin thema's en Meer,,Zwak zuur tot licht basisch,,,,,,,,,,,,,
713,YAR3736,1000,Nee,,Droog-vochthoudend,Lichte schaduw,Groen,,Sapindaceae,Spaanse aak,Acer,,Bomen,,Zwak zuur tot licht basisch,,,Bostuin,,,,,,,,,,
714,YAR1580,80,Nee,"Juni, Juli",Vochthoudend,Halfschaduw,Groen,Wit,Saxifragaceae,Spirea,Astilbe,7-9,Borderplanten,,,,,,,,,,,,,,,
715,YAR1757,40,Nee,"Juli, Augustus",Vochthoudend,Halfschaduw,Groen,Roze,Saxifragaceae,"Spirea, Spierstruik",Astilbe,7-9,Borderplanten,,,,,,,,,,,,,,,
716,YAR767,50,Nee,"Juni, Juli",Vochthoudend,Halfschaduw,Groen,Roze,Saxifragaceae,"Spirea, Spierstruik",Astilbe,7-9,Borderplanten,,,,,,,,,,,,,,,
717,YAR1773,100,Nee,"Juni, Juli",Vochthoudend,Halfschaduw,Groen,Roze,Saxifragaceae,Spirea,Astilbe,7-9,Borderplanten,,,,,,,,,,,,,,,
718,YAR1462,100,Nee,"Juni, Juli",Vochthoudend,Halfschaduw,Groen,Roze,Saxifragaceae,Spirea,Astilbe,7-9,Borderplanten,,,,,,,,,,,,,,,
719,YAR1243,40,Nee,"Juli, Augustus",Vochthoudend,Halfschaduw,Groen,Roze,Saxifragaceae,"Spirea, Spierstruik",Astilbe,5-7,Borderplanten,,,,,,,,,,,,,,,
720,YAR1418,60,Nee,"Juni, Juli",Vochthoudend,Halfschaduw,Groen,Wit,Saxifragaceae,"Spirea, Spierstruik",Astilbe,7-9,Borderplanten,,,,,,,,,,,,,,,
721,YAR695,50,Nee,"Juni, Juli",Vochthoudend,Halfschaduw,Groen,"Roze, Rood",Saxifragaceae,Spirea,Astilbe,7-9,Borderplanten,,,,,,,,,,,,,,,
722,YAR1576,60,Nee,"Juni, Juli",Vochthoudend,Halfschaduw,Groen,Paars,Saxifragaceae,"Spirea, Spierstruik",Astilbe,,Borderplanten,,,,,,,,,,,,,,,
723,YAR1728,60,Nee,"Juni, Juli",Vochthoudend,Halfschaduw,Groen,Roze,Saxifragaceae,Spirea,Astilbe,7-9,Borderplanten,,,,,,,,,,,,,Hele jaar rond,,
724,YAR1477,25,Nee,"Juni, Juli",Vochthoudend,Halfschaduw,Groen,Roze,Saxifragaceae,Spirea,Astilbe,8-11,Borderplanten,,,,,,,,,,,,,,,
725,YAR1449,70,Nee,"Juni, Juli",Vochthoudend,Halfschaduw,Groen,Roze,Saxifragaceae,Spirea,Astilbe,7-9,Borderplanten,,,,,,,,,,,,,,,
726,YAR424,50,Nee,"Juni, Juli",Vochthoudend,Halfschaduw,Groen,Wit,Saxifragaceae,Spirea,Astilbe,5-7,Borderplanten,,,,,,,,,,,,,,,
727,YAR1815,50,Nee,"Augustus, September",Vochthoudend,Schaduw,Groen,"Roze, Rood",Saxifragaceae,Spirea,Astilbe,7-9,Borderplanten,,,,,,,,,,,,,,,
728,YAR1789,100,Nee,"Augustus, September",Vochthoudend,Schaduw,Groen,Paars,Saxifragaceae,"Spirea, Spierstruik",Astilbe,5-7,Borderplanten,,,,,,,,,,,,,,,
729,YAR1036,70,Nee,"Augustus, September",Vochthoudend,Schaduw,Groen,Paars,Saxifragaceae,"Spirea, Spierstruik",Astilbe,,Borderplanten,,,,,,,,,,,,,,,
730,YAR55,20,Nee,"Juli, Augustus",Vochthoudend,Halfschaduw,Groen,Roze,Rosaceae,"Spirea, Spierstruik",Astilbe,8-11,Borderplanten,,,,,,,,,,,,,,,
731,YAR159,150,Nee,"Juli, Augustus",Vochthoudend,Schaduw,Groen,Wit,Saxifragaceae,Spirea,Astilbe,,Borderplanten,,,,,,,,,,,,,,,
732,YAR3927,"250, 300",Nee,,Vochthoudend,,"Rood, Groen",Geel,Stachyuraceae,Staartaar,Stachyurus praecox,1-3,Tuin thema's en Meer,Redelijk,Humusrijke grond,Ja,,Alle,,,,,,,Nee,,,
733,YAR1847,150,Nee,"Augustus, Juli, Juni",Droog-vochthoudend,Zon,"Groen, Grijs",Geel,Scrophulariacea,Stalkaars,Verbascum,,Borderplanten,,,,,,,,,,,,,,,
734,YAR23184,7000,Ja,"Mei, April",,,Groen,Geel,Quercus,Eik,,,Bomen,Ja,"klei, zand",,,Modern,,,,,,,Geen,,,
735,YAR43,60,Ja,"September, Augustus, Juli, Juni, Mei",Droog-vochthoudend,Zon,"Groen, Grijs",Paars,Brassicaceae,"Steenraket, Muurbloem",Erysimum,7-9,Borderplanten,Ja,,,,,,,,,,,,,,
736,YAR4065,15,Ja,"Juli, Juni, Mei",Droog-vochthoudend,Zon,Groen,Blauw,Boraginaceae,Steenzaad,Lithodora,8-11,Borderplanten,,Zwak zuur tot neutraal,,Zuurminnend,,,,,,,,,,,
737,YAR3375,10,Ja,"Augustus, Juli, Juni, Mei",Vochthoudend-vochtig,Zon,Groen,Blauw,Boraginaceae,Steenzaad,Lithodora,8-11,Borderplanten,Ja,Zwak zuur tot neutraal,Ja,Zuurminnend,"Rots, Rotstuin",,,,,,,,,,
738,YAR2572,10,Ja,"Augustus, Juli, Juni, Mei",Vochthoudend-vochtig,Zon,Groen,"Blauw, Paars",Boraginaceae,Steenzaad,Lithodora,8-11,Borderplanten,Ja,Zwak zuur tot neutraal,Ja,"Zuu, Zuurminnend",,,,,,,,,,,
739,YAR1318,15,Ja,"Maart, April",Vochthoudend,Schaduw,Groen,Paars,Primulaceae,Stengelloze sleutelbloem,Primula,11-15,Borderplanten,Ja,,Ja,,Alle,,,,,,,,,,
740,YAR2085,200,Nee,"Maart, April",Vochthoudend-vochtig,"Halfschaduw, Zon",Groen,Wit,Magnoliaceae,Stermagnolia,Magnolia,,Heesters en Struiken,,Zwak zuur tot licht basisch,,,,,,,,,,,,,
741,YAR2170,25,Ja,"Augustus, September",Droog-vochthoudend,Zon,"Groen, Grijs",Paars,Ericaceae,Struikhei,Calluna,8-11,Borderplanten,,,,,,,,,,,,,,,
742,YAR3784,35,Ja,"Augustus, September",Droog-vochthoudend,Zon,"Groen, Wit",Wit,Ericaceae,Struikhei,Calluna,8-11,Borderplanten,,,,,,,,,,,,,,,
743,YAR1917,30,Ja,"Mei, Juni",Droog-vochthoudend,Lichte schaduw,"Groen, Grijs",Roze,Scrophulariaceae,Struikveronica,Hebe,3-5,Tuin thema's en Meer,,Zuur tot neutraal,,,,,,,,,4.5-7,,,,
744,YAR1246,150,Nee,"Augustus, Juli",Droog,Zon,"Groen, Grijs","Wit, Geel",Asteraceae,Tandzaad,Bidens,,Planten op standplaats,,,,,,,,,,,,,,,
745,YAR3861,100,Ja,,Vochthoudend-vochtig,,Groen,,Taxaceae,"Venusschoentje, Venijnboom",Coniferen,,Tuin thema's en Meer,,,,,,,,,,,,,,,
746,YAR1345,200,Ja,,Vochthoudend-vochtig,Halfschaduw / zon,Groen,,Taxaceae,Taxus,Taxus,1-3,Tuin thema's en Meer,Ja,Neutraal tot basisch,,,Alle,Mei,Ja,,,1-3,7-9,,,,
747,YAR1667,200,Ja,,Vochthoudend-vochtig,Lichte / halfschaduw,Geel,,Taxaceae,Taxus,Taxus,1-3,Tuin thema's en Meer,Ja,Zwak zuur tot licht basisch,,,Alle,Mei,Ja,,,1-3,7-9,,,,
748,YAR1004,400,Ja,,Vochthoudend-vochtig,Halfschaduw / zon,Geel,,Taxaceae,Taxus,Taxus,1-3,Tuin thema's en Meer,Ja,Neutraal tot basisch,,,Alle,Maart,Ja,,,1-3,7-9,,,,
749,YAR1734,250,Ja,,Vochthoudend-vochtig,Lichte / halfschaduw,Geel,,Taxaceae,Taxus,Taxus,1-3,Tuin thema's en Meer,Ja,Zwak zuur tot licht basisch,,,Alle,Mei,Ja,,,1-3,5.5-8,,,,
750,YAR2189,250,Ja,,Vochthoudend-vochtig,Lichte schaduw / zon,Groen,,Taxaceae,Taxus,Taxus,3-5,Tuin thema's en Meer,Ja,Zwak zuur tot licht basisch,,,Alle,Mei,Ja,,,3-5,5.5-8,,,,
751,YAR27111,200-400,Ja,,Droog-vochthoudend,"Zon, Halfschaduw, Schaduw",Groen,,Taxaceae,Taxus,Taxus,,Haagplanten,Tot -25 graden Celsius,Neutraal,,,,,Ja,,,3-5,6-8,Nee,,,
752,YAR27156,150-200,Ja,,Droog-vochthoudend,"Zon, Halfschaduw, Schaduw",Groen,,Taxaceae,Taxus,Taxus,,Haagplanten,Tot -25 graden Celsius,Neutraal,,Alle,,,Ja,,,3-5,,,,,
753,YAR2527,250,Ja,,Vochthoudend-vochtig,Lichte / halfschaduw,Geel,,Taxaceae,Taxus,Taxus,1-3,Tuin thema's en Meer,,Zwak zuur tot licht basisch,,,,,,,,1-3,,,,,
754,YAR3239,60,Ja,,Vochthoudend-vochtig,Lichte / halfschaduw,Groen,,Taxaceae,Taxus,Taxus,1,Tuin thema's en Meer,,Zwak zuur tot licht basisch,,,,,,,,1,,,,,
755,YAR2885,200,Ja,,Vochthoudend-vochtig,Lichte / halfschaduw,Geel,,Taxaceae,Taxus,Taxus,1-3,Tuin thema's en Meer,,Zwak zuur tot licht basisch,,,,,,,,1-3,,,,,
756,YAR1976,2000,Ja,,Vochthoudend-vochtig,Halfschaduw / zon,Groen,,Taxaceae,Taxus,Taxus,,Tuin thema's en Meer,Ja,Neutraal tot basisch,,,,Mei,Ja,,,3-5,6-8,,,,
757,YAR292,50,Nee,"Juni, Juli, Augustus",Droog-vochthoudend,Zon,Groen,Geel,Oenotheraceae,Teunisbloem,Oenothera,,Borderplanten,,,,,,,,,,,,,,,
758,YAR1116,50,Nee,"Juni, Juli, Augustus",Droog-vochthoudend,Zon,Groen,Geel,Oenotheraceae,Teunisbloem,Oenothera,,Borderplanten,,,,,,,,,,,,,,,
759,YAR2021,70,Nee,"Juni, Juli, Augustus",Droog-vochthoudend,Zon,Groen,Geel,Oenotheraceae,Teunisbloem,Oenothera,,Borderplanten,,,,,,,,,,,,,,,
760,YAR945,50,Nee,"Juni, Juli, Augustus",Droog-vochthoudend,Zon,Groen,Geel,Oenotheraceae,Teunisbloem,Oenothera,,Borderplanten,,,,,,,,,,,,,,,
761,YAR904,700,Nee,"April, Mei",Vochthoudend-vochtig,"Halfschaduw, Zon",Groen,Wit,Rosaceae,Tibetaanse sierkers,Prunus,,Bomen,,Zwak zuur tot licht basisch,,,,,,,,,,,,,
762,YAR2770,5,Ja,"Juni, Juli",Droog-vochthoudend,Zon,"Groen, Wit",Paars,Lamiaceae,Tijm,Thymus,,Borderplanten,,,,,,,,,,,,,,,
763,YAR1710,20,Ja,"Juni, Juli",Droog,Zon,"Groen, Grijs",Paars,Lamiaceae,Tijm,Thymus,,Borderplanten,,,,,,,,,,,,,,,
764,YAR710,150,Nee,"Juni, Juli",Vochthoudend-vochtig,"Halfschaduw, Zon, Schaduw",Groen,Geel,Asteraceae,Tongkruiskruid,Ligularia,,Borderplanten,,,,,,,,,,,,,,,
765,YAR825,100,Nee,"Augustus, Juli, Juni",Droog-vochthoudend,Zon,Groen,"Wit, Geel",Scrophulariaceae,Toorts,Verbascum,,Borderplanten,,,,,,,,,,,,,,,
766,YAR3000,150,Nee,"Augustus, Juli, Juni",Droog-vochthoudend,Zon,"Groen, Wit",Rood,Scrophulariaceae,Toorts,Verbascum,,Borderplanten,,,,,,,,,,,,,,,
767,YAR3542,60,Nee,"September, Augustus, Juli, Juni",Droog-vochthoudend,Zon,Grijs,Oranje,Scrophulariaceae,Toorts,Verbascum,,Borderplanten,,,,,,,,,,,,,,,
768,YAR3508,25,Nee,"Juli, Augustus",Droog-vochthoudend,Zon,Grijs,Geel,Scrophulariacea,Toorts,Verbascum,,Borderplanten,,Zwak zuur tot neutraal,,,,,,,,,,,,,
769,YAR1903,125,Nee,"Augustus, Juli, Juni",Droog-vochthoudend,Zon,"Groen, Grijs",Oranje,Scrophulariacea,Toorts,Verbascum,,Borderplanten,,,,,,,,,,,,,,,
770,YAR1577,100,Nee,"Juni, Juli, Augustus",Droog,Zon,Groen,Wit,Scrophulariacea,Toorts,Verbascum,,Borderplanten,,,,,,,,,,,,,,,
771,YAR2406,170,Nee,"Juli, Augustus",Droog-vochthoudend,Zon,Grijs,Geel,Scrophulariceae,Toorts,Verbascum,,Borderplanten,,,,,,,,,,,,,,,
772,YAR2147,300,Nee,"Februari, Maart",Vochthoudend-vochtig,Lichte schaduw / zon,Groen,Geel,Hamamelidaceae,Toverhazelaar,Hamamelis,,Tuin thema's en Meer,,Zuur tot neutraal,,,,,,,,,,,,,
773,YAR1302,300,Nee,"Februari, Maart",Vochthoudend-vochtig,Lichte schaduw / zon,Groen,"Roze, Rood",Hamamelidaceae,Toverhazelaar,Hamamelis,,Tuin thema's en Meer,,Zuur tot neutraal,,,,,,,,,,,,,
774,YAR3061,350,Nee,"December, Februari, Januari",Vochthoudend-vochtig,"Halfschaduw, Zon",Groen,Geel,Hamamelidaceae,Toverhazelaar,Hamamelis,,Tuin thema's en Meer,,Zuur tot neutraal,,,,,,,,,,,,,
775,YAR2108,300,Nee,,Vochthoudend-vochtig,Lichte schaduw / zon,Groen,Rood,Hamamelidaceae,Toverhazelaar,Hamamelis,,Tuin thema's en Meer,,Zuur tot neutraal,,,,,,,,,,,,,
776,YAR408,20,Ja,"Juni, Juli",Droog-vochthoudend,Zon,Grijs,Geel,Crassulaceae,Tripmadam,Sedum,8-11,Borderplanten,,,,,,,,,,,,,,,
777,YAR2668,70,Nee,"September, Augustus, Juli, Juni",Droog-vochthoudend,Lichte schaduw / zon,"Groen, Rood","Rood, Oranje",Rosaceae,Trosroos,Rosa,3-5,Heesters en Struiken,,Zwak zuur tot licht basisch,,,,,,,,,,,,,
778,YAR173,80,Nee,"September, Augustus, Juli, Juni",Droog-vochthoudend,Lichte schaduw / zon,Groen,Roze,Rosaceae,Trosroos,Rosa,4-5,Heesters en Struiken,,Zwak zuur tot licht basisch,,,,,,,,,,,,,
779,YAR3390,75,Nee,"September, Augustus, Juli, Juni",Droog-vochthoudend,Lichte schaduw / zon,Groen,Oranje,Rosaceae,Trosroos,Rosa,3-5,Heesters en Struiken,,Zwak zuur tot licht basisch,,,,,,,,,,,,,
780,YAR1215,80,Nee,"September, Augustus, Juli, Juni",Droog-vochthoudend,Lichte schaduw / zon,Groen,Roze,Rosaceae,Trosroos,Rosa,3-5,Heesters en Struiken,,Zwak zuur tot licht basisch,,,,,,,,,,,,,
